cross_group,cross_bin,status,evidence
outstanding_depth_x_completion_policy,depth_1_in_order,HIT,advanced_depth_1_in_order.jsonl
outstanding_depth_x_completion_policy,depth_1_reorder_policy,HIT,advanced_depth_1_reorder_policy.jsonl
outstanding_depth_x_completion_policy,depth_2_in_order,HIT,advanced_depth_2_in_order.jsonl
outstanding_depth_x_completion_policy,depth_2_reorder_policy,HIT,advanced_depth_2_reorder_policy.jsonl
outstanding_depth_x_completion_policy,depth_3_4_in_order,HIT,advanced_depth_4_in_order.jsonl
outstanding_depth_x_completion_policy,depth_3_4_reorder_policy,HIT,advanced_depth_4_reorder_policy.jsonl
qos_class_x_contention,low_2way,HIT,advanced_qos_low_2way.jsonl
qos_class_x_contention,low_3way,HIT,advanced_qos_low_3way.jsonl
qos_class_x_contention,low_4way,HIT,advanced_qos_low_4way.jsonl
qos_class_x_contention,mid_2way,HIT,advanced_qos_mid_2way.jsonl
qos_class_x_contention,mid_3way,HIT,advanced_qos_mid_3way.jsonl
qos_class_x_contention,mid_4way,HIT,advanced_qos_mid_4way.jsonl
qos_class_x_contention,high_2way,HIT,advanced_qos_high_2way.jsonl
qos_class_x_contention,high_3way,HIT,advanced_qos_high_3way.jsonl
qos_class_x_contention,high_4way,HIT,advanced_qos_high_4way.jsonl
qos_class_x_contention,critical_2way,HIT,advanced_qos_critical_2way.jsonl
qos_class_x_contention,critical_3way,HIT,advanced_qos_critical_3way.jsonl
qos_class_x_contention,critical_4way,HIT,advanced_qos_critical_4way.jsonl
response_backpressure_x_occupancy,B_low,HIT,advanced_response_queue_low.jsonl
response_backpressure_x_occupancy,R_low,HIT,advanced_response_queue_low.jsonl
response_backpressure_x_occupancy,B_high,HIT,advanced_response_queue_high.jsonl
response_backpressure_x_occupancy,R_high,HIT,advanced_response_queue_high.jsonl
w_before_aw_x_completion,blocked_before_route,HIT,CHECK_PASS in advanced_w_before_aw run
w_before_aw_x_completion,completed_after_aw,HIT,readback and response checks
