cross_group,cross_bin,status
initiator_x_target,m0_s0,HIT
initiator_x_target,m0_s1,HIT
initiator_x_target,m0_s2,HIT
initiator_x_target,m0_s3,HIT
initiator_x_target,m1_s0,HIT
initiator_x_target,m1_s1,HIT
initiator_x_target,m1_s2,HIT
initiator_x_target,m1_s3,HIT
initiator_x_target,m2_s0,HIT
initiator_x_target,m2_s1,HIT
initiator_x_target,m2_s2,HIT
initiator_x_target,m2_s3,HIT
initiator_x_target,m3_s0,HIT
initiator_x_target,m3_s1,HIT
initiator_x_target,m3_s2,HIT
initiator_x_target,m3_s3,HIT
operation_x_burst,read_1,HIT
operation_x_burst,read_2_4,HIT
operation_x_burst,read_5_8,HIT
operation_x_burst,read_9_16,HIT
operation_x_burst,write_1,HIT
operation_x_burst,write_2_4,HIT
operation_x_burst,write_5_8,HIT
operation_x_burst,write_9_16,HIT
operation_x_response,read_0,HIT
operation_x_response,read_2,HIT
operation_x_response,read_3,HIT
operation_x_response,write_0,HIT
operation_x_response,write_2,HIT
operation_x_response,write_3,HIT
security_x_operation,allow_read,HIT
security_x_operation,allow_write,HIT
security_x_operation,deny_read,HIT
security_x_operation,deny_write,HIT
cdc_x_operation,read,HIT
cdc_x_operation,write,HIT
backpressure_x_operation,0_read,HIT
backpressure_x_operation,0_write,HIT
backpressure_x_operation,25_read,HIT
backpressure_x_operation,25_write,HIT
backpressure_x_operation,75_read,HIT
backpressure_x_operation,75_write,HIT
contention_x_policy,read_2way,HIT
contention_x_policy,read_4way,HIT
contention_x_policy,write_4way,HIT
contention_x_policy,high_qos_winner,HIT
